Provincias;Sexo;Periodo;Total
24 León;Ambos sexos;2024;50,03
24 León;Ambos sexos;2023;49,82
24 León;Ambos sexos;2022;49,68
24 León;Ambos sexos;2021;49,41
24 León;Ambos sexos;2020;49,25
24 León;Ambos sexos;2019;48,97
24 León;Ambos sexos;2018;48,70
24 León;Ambos sexos;2017;48,39
24 León;Ambos sexos;2016;48,08
24 León;Ambos sexos;2015;47,77
24 León;Ambos sexos;2014;47,46
24 León;Ambos sexos;2013;47,11
24 León;Ambos sexos;2012;46,83
24 León;Ambos sexos;2011;46,56
24 León;Ambos sexos;2010;46,30
24 León;Ambos sexos;2009;46,04
24 León;Ambos sexos;2008;45,87
24 León;Ambos sexos;2007;45,75
24 León;Ambos sexos;2006;45,54
24 León;Ambos sexos;2005;45,32
24 León;Ambos sexos;2004;45,06
24 León;Ambos sexos;2003;44,78
24 León;Ambos sexos;2002;44,47
24 León;Ambos sexos;2001;44,09
24 León;Ambos sexos;2000;43,71
24 León;Ambos sexos;1999;43,31
24 León;Ambos sexos;1998;42,91
24 León;Ambos sexos;1997;42,49
24 León;Ambos sexos;1996;42,06
24 León;Ambos sexos;1995;41,63
24 León;Ambos sexos;1994;41,20
24 León;Ambos sexos;1993;40,78
24 León;Ambos sexos;1992;40,36
24 León;Ambos sexos;1991;39,96
24 León;Ambos sexos;1990;39,60
24 León;Ambos sexos;1989;39,23
24 León;Ambos sexos;1988;38,88
24 León;Ambos sexos;1987;38,53
24 León;Ambos sexos;1986;38,22
24 León;Ambos sexos;1985;37,94
24 León;Ambos sexos;1984;37,66
24 León;Ambos sexos;1983;37,41
24 León;Ambos sexos;1982;37,16
24 León;Ambos sexos;1981;36,93
24 León;Ambos sexos;1980;36,59
24 León;Ambos sexos;1979;36,26
24 León;Ambos sexos;1978;35,93
24 León;Ambos sexos;1977;35,59
24 León;Ambos sexos;1976;35,26
24 León;Ambos sexos;1975;34,88
